epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
80,231.838,0.6815,0.93609,0.57387,0.93297,0,0.88942,0.7558,0.81706,0.64806,0.81202,0.69162,0.73086,0.52754,0.8244,1.34764,0.70284,0.90918,0,0.000272375,0.000272375,0.000272375
81,234.854,0.67804,1.02217,0.55651,0.92714,0,0.86861,0.76626,0.81689,0.64943,0.80427,0.71043,0.73591,0.52204,0.83438,1.41659,0.69996,0.91799,0,0.00026,0.00026,0.00026
82,237.855,0.6527,1.00696,0.55082,0.9271,0,0.85719,0.75761,0.82153,0.64891,0.79149,0.70472,0.73838,0.53093,0.80532,1.39038,0.68879,0.90168,0,0.000247625,0.000247625,0.000247625
83,240.878,0.65297,0.9631,0.55799,0.92559,0,0.82896,0.77867,0.82254,0.64745,0.76507,0.72311,0.73591,0.52081,0.80006,1.34549,0.70146,0.89438,0,0.00023525,0.00023525,0.00023525
84,243.863,0.64637,0.95219,0.55172,0.92466,0,0.81457,0.77201,0.82,0.65007,0.83438,0.6569,0.72975,0.5187,0.79323,1.33821,0.71117,0.89312,0,0.000222875,0.000222875,0.000222875
85,246.862,0.64656,0.98827,0.55509,0.91462,0,0.88579,0.76054,0.81845,0.6499,0.81369,0.70055,0.73451,0.51795,0.78516,1.349,0.7091,0.8891,0,0.0002105,0.0002105,0.0002105
86,249.874,0.61067,0.89332,0.53517,0.90393,0,0.86573,0.74677,0.81339,0.64717,0.81622,0.68664,0.73145,0.5111,0.79311,1.3616,0.71337,0.88742,0,0.000198125,0.000198125,0.000198125
87,252.875,0.63338,0.97489,0.54893,0.92709,0,0.89343,0.72941,0.80833,0.63867,0.82514,0.67989,0.72892,0.51285,0.79535,1.36533,0.71251,0.88737,0,0.00018575,0.00018575,0.00018575
88,255.937,0.66643,1.00516,0.56674,0.93717,0,0.86722,0.74795,0.81008,0.6455,0.80543,0.6959,0.73268,0.51802,0.77245,1.35842,0.70346,0.88388,0,0.000173375,0.000173375,0.000173375
89,258.931,0.66695,0.9217,0.54764,0.92332,0,0.85884,0.76774,0.81751,0.65307,0.80372,0.70072,0.73873,0.51604,0.77732,1.3664,0.68862,0.89083,0,0.000161,0.000161,0.000161
90,261.913,0.62798,0.917,0.53019,0.90929,0,0.89197,0.76036,0.81886,0.65278,0.82872,0.70041,0.73555,0.51792,0.78533,1.37061,0.68609,0.89608,0,0.000148625,0.000148625,0.000148625
91,265.121,0.7164,0.92951,0.66065,0.93214,0,0.88302,0.7703,0.81091,0.65339,0.81123,0.71392,0.72827,0.51981,0.78565,1.42145,0.68856,0.88565,0,0.00013625,0.00013625,0.00013625
92,267.924,0.70667,0.92206,0.60495,0.91567,0,0.86924,0.7502,0.80199,0.64534,0.8282,0.68006,0.73167,0.51703,0.79577,1.42921,0.71011,0.8758,0,0.000123875,0.000123875,0.000123875
93,270.734,0.71171,0.91261,0.60138,0.92863,0,0.86495,0.77244,0.81405,0.64991,0.79337,0.72035,0.74628,0.52113,0.78586,1.47811,0.70507,0.86607,0,0.0001115,0.0001115,0.0001115
94,273.531,0.72406,0.9705,0.59326,0.95274,0,0.86454,0.78276,0.81617,0.65304,0.80286,0.72905,0.74755,0.52709,0.7718,1.46308,0.69137,0.86459,0,9.9125e-05,9.9125e-05,9.9125e-05
95,276.351,0.69998,0.9284,0.58161,0.93101,0,0.88231,0.77346,0.82234,0.65437,0.82461,0.72278,0.75104,0.52265,0.77839,1.44473,0.69089,0.87062,0,8.675e-05,8.675e-05,8.675e-05
96,279.144,0.69328,0.93826,0.58578,0.92516,0,0.8881,0.76818,0.82065,0.65581,0.82488,0.71978,0.75463,0.52516,0.78463,1.43891,0.69106,0.87217,0,7.4375e-05,7.4375e-05,7.4375e-05
97,281.945,0.66895,0.8911,0.56881,0.91614,0,0.89708,0.76365,0.82092,0.66414,0.82556,0.71206,0.7557,0.53159,0.7844,1.40569,0.68557,0.87411,0,6.2e-05,6.2e-05,6.2e-05
98,284.661,0.67539,0.90247,0.57941,0.92463,0,0.88298,0.77339,0.82607,0.66658,0.81161,0.72049,0.75097,0.53516,0.77837,1.37981,0.68221,0.87115,0,4.9625e-05,4.9625e-05,4.9625e-05
99,287.479,0.66066,0.89099,0.55934,0.91276,0,0.88233,0.77745,0.8205,0.66484,0.81791,0.72692,0.74945,0.53072,0.77299,1.38439,0.67746,0.8705,0,3.725e-05,3.725e-05,3.725e-05
100,290.278,0.63711,0.85829,0.54228,0.89668,0,0.87826,0.7831,0.82358,0.66508,0.81636,0.73154,0.7516,0.52847,0.77271,1.39358,0.67354,0.87141,0,2.4875e-05,2.4875e-05,2.4875e-05
